iso_code,year,total_CO2_Mt,coal_CO2_Mt,oil_CO2_Mt,gas_CO2_Mt,cement_CO2_Mt,flaring_CO2_Mt,consumption_CO2_Mt
AFG,1807,,,,,0.0,,
AFG,1808,,,,,0.0,,
AFG,1809,,,,,0.0,,
AFG,1810,,,,,0.0,,
AFG,1811,,,,,0.0,,
AFG,1812,,,,,0.0,,
AFG,1813,,,,,0.0,,
AFG,1814,,,,,0.0,,
AFG,1815,,,,,0.0,,
AFG,1816,,,,,0.0,,
AFG,1817,,,,,0.0,,
AFG,1818,,,,,0.0,,
AFG,1819,,,,,0.0,,
AFG,1820,,,,,0.0,,
AFG,1821,,,,,0.0,,
AFG,1822,,,,,0.0,,
AFG,1823,,,,,0.0,,
AFG,1824,,,,,0.0,,
AFG,1825,,,,,0.0,,
AFG,1826,,,,,0.0,,
AFG,1827,,,,,0.0,,
AFG,1828,,,,,0.0,,
AFG,1829,,,,,0.0,,
AFG,1830,,,,,0.0,,
AFG,1831,,,,,0.0,,
AFG,1832,,,,,0.0,,
AFG,1833,,,,,0.0,,
AFG,1834,,,,,0.0,,
AFG,1835,,,,,0.0,,
AFG,1836,,,,,0.0,,
AFG,1837,,,,,0.0,,
AFG,1838,,,,,0.0,,
AFG,1839,,,,,0.0,,
AFG,1840,,,,,0.0,,
AFG,1841,,,,,0.0,,
AFG,1842,,,,,0.0,,
AFG,1843,,,,,0.0,,
AFG,1844,,,,,0.0,,
AFG,1845,,,,,0.0,,
AFG,1846,,,,,0.0,,
AFG,1847,,,,,0.0,,
AFG,1848,,,,,0.0,,
AFG,1849,,,,,0.0,,
AFG,1850,,,,,0.0,,
AFG,1851,,,,,0.0,,
AFG,1852,,,,,0.0,,
AFG,1853,,,,,0.0,,
AFG,1854,,,,,0.0,,
AFG,1855,,,,,0.0,,
AFG,1856,,,,,0.0,,
AFG,1857,,,,,0.0,,
AFG,1858,,,,,0.0,,
AFG,1859,,,,,0.0,,
AFG,1860,,,,,0.0,,
AFG,1861,,,,,0.0,,
AFG,1862,,,,,0.0,,
AFG,1863,,,,,0.0,,
AFG,1864,,,,,0.0,,
AFG,1865,,,,,0.0,,
AFG,1866,,,,,0.0,,
AFG,1867,,,,,0.0,,
AFG,1868,,,,,0.0,,
AFG,1869,,,,,0.0,,
AFG,1870,,,,,0.0,,
AFG,1871,,,,,0.0,,
AFG,1872,,,,,0.0,,
AFG,1873,,,,,0.0,,
AFG,1874,,,,,0.0,,
AFG,1875,,,,,0.0,,
AFG,1876,,,,,0.0,,
AFG,1877,,,,,0.0,,
AFG,1878,,,,,0.0,,
AFG,1879,,,,,0.0,,
AFG,1880,,,,,0.0,,
AFG,1881,,,,,0.0,,
AFG,1882,,,,,0.0,,
AFG,1883,,,,,0.0,,
AFG,1884,,,,,0.0,,
AFG,1885,,,,,0.0,,
AFG,1886,,,,,0.0,,
AFG,1887,,,,,0.0,,
AFG,1888,,,,,0.0,,
AFG,1889,,,,,0.0,,
AFG,1890,,,,,0.0,,
AFG,1891,,,,,0.0,,
AFG,1892,,,,,0.0,,
AFG,1893,,,,,0.0,,
AFG,1894,,,,,0.0,,
AFG,1895,,,,,0.0,,
AFG,1896,,,,,0.0,,
AFG,1897,,,,,0.0,,
AFG,1898,,,,,0.0,,
AFG,1899,,,,,0.0,,
AFG,1900,,,,,0.0,,
AFG,1901,,,,,0.0,,
AFG,1902,,,,,0.0,,
AFG,1903,,,,,0.0,,
AFG,1904,,,,,0.0,,
AFG,1905,,,,,0.0,,
AFG,1906,,,,,0.0,,
AFG,1907,,,,,0.0,,
AFG,1908,,,,,0.0,,
AFG,1909,,,,,0.0,,
AFG,1910,,,,,0.0,,
AFG,1911,,,,,0.0,,
AFG,1912,,,,,0.0,,
AFG,1913,,,,,0.0,,
AFG,1914,,,,,0.0,,
AFG,1915,,,,,0.0,,
AFG,1916,,,,,0.0,,
AFG,1917,,,,,0.0,,
AFG,1918,,,,,0.0,,
AFG,1919,,,,,0.0,,
AFG,1920,,,,,0.0,,
AFG,1921,,,,,0.0,,
AFG,1922,,,,,0.0,,
AFG,1923,,,,,0.0,,
AFG,1924,,,,,0.0,,
AFG,1925,,,,,0.0,,
AFG,1926,,,,,0.0,,
AFG,1927,,,,,0.0,,
AFG,1928,,,,,0.0,,
AFG,1929,,,,,0.0,,
AFG,1930,,,,,0.0,,
AFG,1931,,,,,0.0,,
AFG,1932,,,,,0.0,,
AFG,1933,,,,,0.0,,
AFG,1934,,,,,0.0,,
AFG,1935,,,,,0.0,,
AFG,1936,,,,,0.0,,
AFG,1937,,,,,0.0,,
AFG,1938,,,,,0.0,,
AFG,1939,,,,,0.0,,
AFG,1940,,,,,0.0,,
AFG,1941,,,,,0.0,,
AFG,1942,,,,,0.0,,
AFG,1943,,,,,0.0,,
AFG,1944,,,,,0.0,,
AFG,1945,,,,,0.0,,
AFG,1946,,,,,0.0,,
AFG,1947,,,,,0.0,,
AFG,1948,,,,,0.0,,
AFG,1949,0.015,0.015,0.0,0.0,0.0,,
AFG,1950,0.084,0.021,0.063,0.0,0.0,,
AFG,1951,0.092,0.026,0.066,0.0,0.0,,
AFG,1952,0.092,0.032,0.06,0.0,0.0,,
AFG,1953,0.106,0.038,0.068,0.0,0.0,,
AFG,1954,0.106,0.043,0.064,0.0,0.0,,
AFG,1955,0.154,0.062,0.092,0.0,0.0,,
AFG,1956,0.183,0.062,0.121,0.0,0.0,,
AFG,1957,0.293,0.077,0.216,0.0,0.0,,
AFG,1958,0.33,0.092,0.238,0.0,0.0,,
AFG,1959,0.385,0.11,0.256,0.0,0.018,,
AFG,1960,0.414,0.127,0.269,0.0,0.018,,
AFG,1961,0.491,0.176,0.293,0.0,0.022,,
AFG,1962,0.689,0.297,0.363,0.0,0.029,,
AFG,1963,0.707,0.264,0.392,0.0,0.051,,
AFG,1964,0.839,0.3,0.476,0.0,0.062,,
AFG,1965,1.007,0.381,0.542,0.0,0.084,,
AFG,1966,1.091,0.429,0.575,0.0,0.087,,
AFG,1967,1.282,0.399,0.557,0.26,0.065,,
AFG,1968,1.223,0.332,0.497,0.347,0.047,,
AFG,1969,0.941,0.363,0.528,0.0,0.051,,
AFG,1970,1.67,0.437,0.672,0.217,0.047,0.297,
AFG,1971,1.894,0.359,0.747,0.44,0.043,0.304,
AFG,1972,1.53,0.191,0.627,0.3,0.046,0.366,
AFG,1973,1.635,0.311,0.702,0.333,0.067,0.223,
AFG,1974,1.913,0.305,0.771,0.4,0.07,0.367,
AFG,1975,2.121,0.399,0.874,0.475,0.069,0.304,
AFG,1976,1.981,0.425,0.883,0.3,0.079,0.293,
AFG,1977,2.384,0.451,0.975,0.513,0.065,0.381,
AFG,1978,2.153,0.576,0.936,0.301,0.058,0.283,
AFG,1979,2.233,0.352,1.165,0.385,0.064,0.267,
AFG,1980,1.756,0.316,0.925,0.187,0.023,0.305,
AFG,1981,1.978,0.333,1.015,0.304,0.033,0.293,
AFG,1982,2.095,0.385,0.993,0.396,0.039,0.282,
AFG,1983,2.52,0.385,1.22,0.616,0.006,0.293,
AFG,1984,2.822,0.393,1.134,0.932,0.048,0.316,
AFG,1985,3.501,0.4,1.548,1.192,0.032,0.33,
AFG,1986,3.134,0.425,1.14,1.202,0.038,0.33,
AFG,1987,3.114,0.443,2.013,0.392,0.043,0.223,
AFG,1988,2.857,0.366,1.821,0.44,0.043,0.187,
AFG,1989,2.765,0.337,1.865,0.48,0.043,0.04,
AFG,1990,2.024,0.278,1.271,0.403,0.046,0.026,
AFG,1991,1.914,0.25,1.204,0.389,0.046,0.026,
AFG,1992,1.482,0.022,1.03,0.363,0.046,0.022,
AFG,1993,1.487,0.018,1.048,0.352,0.047,0.022,
AFG,1994,1.454,0.015,1.032,0.338,0.047,0.022,
AFG,1995,1.417,0.015,1.011,0.322,0.047,0.022,
AFG,1996,1.37,0.007,0.986,0.308,0.047,0.022,
AFG,1997,1.304,0.004,0.949,0.282,0.047,0.022,
AFG,1998,1.279,0.004,0.942,0.264,0.047,0.022,
AFG,1999,1.092,0.004,0.777,0.242,0.047,0.022,
AFG,2000,1.047,0.004,0.788,0.224,0.01,0.022,
AFG,2001,1.069,0.07,0.762,0.209,0.007,0.022,
AFG,2002,1.341,0.055,0.727,0.547,0.011,0.0,
AFG,2003,1.56,0.092,0.992,0.466,0.01,0.0,
AFG,2004,1.237,0.092,0.909,0.227,0.01,0.0,
AFG,2005,1.89,0.106,1.447,0.33,0.006,0.0,
AFG,2006,2.159,0.161,1.657,0.329,0.012,0.0,
AFG,2007,2.8,0.747,1.733,0.308,0.012,0.0,
AFG,2008,4.254,1.078,2.864,0.297,0.015,0.0,
AFG,2009,6.392,1.514,4.594,0.271,0.013,0.0,
AFG,2010,8.365,2.246,5.833,0.271,0.015,0.0,
AFG,2011,11.838,4.181,7.335,0.308,0.015,0.0,
AFG,2012,10.035,3.125,6.573,0.308,0.029,0.0,
AFG,2013,9.229,3.303,5.593,0.297,0.036,0.0,
AFG,2014,9.086,3.621,5.165,0.271,0.029,0.0,
AFG,2015,9.67,2.722,6.625,0.282,0.041,0.0,
AFG,2016,8.906,2.718,5.794,0.319,0.076,0.0,
AFG,2017,9.677,3.257,6.075,0.3,0.045,0.0,
AFG,2018,10.602,3.633,6.619,0.293,0.057,0.0,
AFG,2019,10.825,3.701,6.841,0.245,0.038,0.0,
AFG,2020,11.606,4.116,7.275,0.154,0.061,0.0,
AFG,2021,10.272,3.397,6.701,0.158,0.016,0.0,
AFG,2022,10.558,3.531,6.862,0.148,0.016,0.0,
AFG,2023,11.02,3.843,7.011,0.15,0.016,0.0,
,1750,,,,,0.0,,
,1751,,,,,0.0,,
,1752,,,,,0.0,,
,1753,,,,,0.0,,
,1754,,,,,0.0,,
,1755,,,,,0.0,,
,1756,,,,,0.0,,
,1757,,,,,0.0,,
,1758,,,,,0.0,,
,1759,,,,,0.0,,
,1760,,,,,0.0,,
,1761,,,,,0.0,,
,1762,,,,,0.0,,
,1763,,,,,0.0,,
,1764,,,,,0.0,,
,1765,,,,,0.0,,
,1766,,,,,0.0,,
,1767,,,,,0.0,,
,1768,,,,,0.0,,
,1769,,,,,0.0,,
,1770,,,,,0.0,,
,1771,,,,,0.0,,
,1772,,,,,0.0,,
,1773,,,,,0.0,,
,1774,,,,,0.0,,
,1775,,,,,0.0,,
,1776,,,,,0.0,,
,1777,,,,,0.0,,
,1778,,,,,0.0,,
,1779,,,,,0.0,,
,1780,,,,,0.0,,
,1781,,,,,0.0,,
,1782,,,,,0.0,,
,1783,,,,,0.0,,
,1784,,,,,0.0,,
,1785,,,,,0.0,,
,1786,,,,,0.0,,
,1787,,,,,0.0,,
,1788,,,,,0.0,,
,1789,,,,,0.0,,
,1790,,,,,0.0,,
,1791,,,,,0.0,,
,1792,,,,,0.0,,
,1793,,,,,0.0,,
,1794,,,,,0.0,,
,1795,,,,,0.0,,
,1796,,,,,0.0,,
,1797,,,,,0.0,,
,1798,,,,,0.0,,
,1799,,,,,0.0,,
,1800,,,,,0.0,,
,1801,,,,,0.0,,
,1802,,,,,0.0,,
,1803,,,,,0.0,,
,1804,,,,,0.0,,
,1805,,,,,0.0,,
,1806,,,,,0.0,,
,1807,,,,,0.0,,
,1808,,,,,0.0,,
,1809,,,,,0.0,,
,1810,,,,,0.0,,
,1811,,,,,0.0,,
,1812,,,,,0.0,,
,1813,,,,,0.0,,
,1814,,,,,0.0,,
,1815,,,,,0.0,,
,1816,,,,,0.0,,
,1817,,,,,0.0,,
,1818,,,,,0.0,,
,1819,,,,,0.0,,
,1820,,,,,0.0,,
,1821,,,,,0.0,,
,1822,,,,,0.0,,
,1823,,,,,0.0,,
,1824,,,,,0.0,,
,1825,,,,,0.0,,
,1826,,,,,0.0,,
,1827,,,,,0.0,,
,1828,,,,,0.0,,
,1829,,,,,0.0,,
,1830,,,,,0.0,,
,1831,,,,,0.0,,
,1832,,,,,0.0,,
,1833,,,,,0.0,,
,1834,,,,,0.0,,
,1835,,,,,0.0,,
,1836,,,,,0.0,,
,1837,,,,,0.0,,
,1838,,,,,0.0,,
,1839,,,,,0.0,,
,1840,,,,,0.0,,
,1841,,,,,0.0,,
,1842,,,,,0.0,,
,1843,,,,,0.0,,
,1844,,,,,0.0,,
,1845,,,,,0.0,,
,1846,,,,,0.0,,
,1847,,,,,0.0,,
,1848,,,,,0.0,,
,1849,,,,,0.0,,
,1850,,,,,0.0,,
,1851,,,,,0.0,,
,1852,,,,,0.0,,
,1853,,,,,0.0,,
,1854,,,,,0.0,,
,1855,,,,,0.0,,
,1856,,,,,0.0,,
,1857,,,,,0.0,,
,1858,,,,,0.0,,
,1859,,,,,0.0,,
,1860,,,,,0.0,,
,1861,,,,,0.0,,
,1862,,,,,0.0,,
,1863,,,,,0.0,,
,1864,,,,,0.0,,
,1865,,,,,0.0,,
,1866,,,,,0.0,,
,1867,,,,,0.0,,
,1868,,,,,0.0,,
,1869,,,,,0.0,,
,1870,,,,,0.0,,
,1871,,,,,0.0,,
,1872,,,,,0.0,,
,1873,,,,,0.0,,
,1874,,,,,0.0,,
,1875,,,,,0.0,,
,1876,,,,,0.0,,
,1877,,,,,0.0,,
,1878,,,,,0.0,,
,1879,,,,,0.0,,
,1880,,,,,0.0,,
,1881,,,,,0.0,,
,1882,,,,,0.0,,
,1883,,,,,0.0,,
,1884,0.022,0.022,0.0,0.0,0.0,,
,1885,0.037,0.037,0.0,0.0,0.0,,
,1886,0.048,0.048,0.0,0.0,0.0,,
,1887,0.048,0.048,0.0,0.0,0.0,,
,1888,0.081,0.081,0.0,0.0,0.0,,
,1889,0.132,0.132,0.0,0.0,0.0,,
,1890,0.297,0.297,0.0,0.0,0.0,,
,1891,0.297,0.297,0.0,0.0,0.0,,
,1892,0.48,0.48,0.0,0.0,0.0,,
,1893,1.799,1.799,0.0,0.0,0.0,,
,1894,2.433,2.433,0.0,0.0,0.0,,
,1895,3.338,3.338,0.0,0.0,0.0,,
,1896,4.258,4.258,0.0,0.0,0.0,,
,1897,4.778,4.778,0.0,0.0,0.0,,
,1898,6.049,6.049,0.0,0.0,0.0,,
,1899,5.518,5.518,0.0,0.0,0.0,,
,1900,2.33,2.33,0.0,0.0,0.0,,
,1901,3.909,3.909,0.0,0.0,0.0,,
,1902,5.826,5.826,0.0,0.0,0.0,,
,1903,7.896,7.896,0.0,0.0,0.0,,
,1904,8.911,8.911,0.0,0.0,0.0,,
,1905,10.263,10.263,0.0,0.0,0.0,,
,1906,11.717,11.717,0.0,0.0,0.0,,
,1907,12.93,12.93,0.0,0.0,0.0,,
,1908,13.403,13.403,0.0,0.0,0.0,,
,1909,15.385,15.385,0.0,0.0,0.0,,
,1910,17.411,17.411,0.0,0.0,0.0,,
,1911,16.865,16.854,0.011,0.0,0.0,,
,1912,17.954,17.869,0.084,0.0,0.0,,
,1913,19.606,19.566,0.04,0.0,0.0,,
,1914,19.551,19.243,0.308,0.0,0.0,,
,1915,19.606,19.514,0.092,0.0,0.0,,
,1916,23.255,23.072,0.183,0.0,0.0,,
,1917,25.344,24.919,0.425,0.0,0.0,,
,1918,24.725,23.856,0.868,0.0,0.0,,
,1919,25.443,24.751,0.692,0.0,0.0,,
,1920,28.052,27.594,0.458,0.0,0.0,,
,1921,27.986,27.425,0.561,0.0,0.0,,
,1922,23.97,23.435,0.534,0.0,0.0,,
,1923,29.045,28.572,0.473,0.0,0.0,,
,1924,30.631,30.126,0.505,0.0,0.0,,
,1925,32.185,31.624,0.561,0.0,0.0,,
,1926,34.438,33.903,0.535,0.0,0.0,,
,1927,33.841,33.269,0.572,0.0,0.0,,
,1928,34.77,33.815,0.828,0.0,0.127,,
,1929,35.802,34.59,0.846,0.0,0.366,,
,1930,33.696,32.555,0.88,0.0,0.261,,
,1931,29.464,28.307,0.89,0.0,0.266,,
,1932,26.623,25.355,0.835,0.0,0.432,,
,1933,28.491,27.29,0.736,0.0,0.464,,
,1934,32.539,31.324,0.682,0.0,0.534,,
,1935,35.91,34.743,0.557,0.0,0.61,,
,1936,39.016,37.765,0.561,0.0,0.691,,
,1937,41.844,40.582,0.535,0.0,0.727,,
,1938,44.013,42.56,0.703,0.0,0.75,,
,1939,46.853,43.957,2.056,0.11,0.73,,
,1940,49.649,46.039,2.865,0.092,0.653,,
,1941,54.023,49.442,3.763,0.099,0.72,,
,1942,58.823,54.304,3.642,0.106,0.77,,
,1943,60.12,55.237,3.957,0.117,0.809,,
,1944,66.633,61.371,4.162,0.131,0.969,,
,1945,67.527,62.303,4.151,0.136,0.937,,
,1946,68.159,62.938,3.942,0.135,1.144,,
,1947,67.935,62.415,4.104,0.136,1.281,,
,1948,71.733,64.359,5.811,0.139,1.424,,
,1949,77.324,68.58,7.072,0.14,1.532,0.0,
,1950,94.868,68.983,23.867,0.004,2.014,0.0,
,1951,101.125,72.749,26.104,0.004,2.269,0.0,
,1952,110.325,79.383,28.608,0.007,2.327,0.0,
,1953,112.007,79.053,30.302,0.015,2.637,0.0,
,1954,117.536,81.77,32.704,0.022,3.041,0.0,
,1955,129.402,91.675,34.297,0.022,3.409,0.0,
,1956,135.106,95.594,35.966,0.029,3.517,0.0,
,1957,141.593,99.299,38.591,0.022,3.681,0.0,
,1958,148.671,103.144,41.52,0.018,3.989,0.0,
,1959,147.841,101.676,41.942,0.035,4.189,0.0,
,1960,156.567,103.522,48.598,0.047,4.399,0.0,
,1961,161.994,105.003,52.193,0.498,4.3,0.0,
,1962,166.335,106.668,54.466,0.74,4.461,0.0,
,1963,176.335,109.186,60.486,0.718,4.798,1.147,
,1964,193.639,115.604,69.389,1.451,5.318,1.877,
,1965,213.634,124.891,75.982,2.123,5.691,4.948,
,1966,221.082,123.843,83.845,2.36,5.841,5.193,
,1967,237.045,127.101,80.898,2.319,5.964,20.763,
,1968,257.271,132.504,85.992,2.364,6.745,29.668,
,1969,277.717,135.191,93.614,2.89,7.696,38.326,
,1970,302.406,140.097,98.18,0.816,8.377,54.935,
,1971,331.613,149.906,115.056,1.693,8.982,55.976,
,1972,351.688,153.924,119.141,4.414,9.559,64.65,
,1973,377.821,154.291,128.051,5.36,10.113,80.006,
,1974,388.183,157.241,133.922,5.111,10.547,81.362,
,1975,387.017,162.187,143.499,6.422,10.6,64.309,
,1976,419.915,171.906,150.449,8.885,10.874,77.8,
,1977,432.919,176.693,159.366,13.669,11.641,71.549,
,1978,462.339,178.676,165.156,34.434,12.367,71.706,
,1979,498.987,197.363,180.866,19.657,13.382,87.719,
,1980,536.023,212.398,198.146,34.632,14.6,76.248,
,1981,548.882,237.34,213.762,29.401,15.84,52.539,
,1982,571.969,250.232,235.836,23.985,16.966,44.95,
,1983,594.811,260.943,243.477,30.431,18.681,41.279,
,1984,649.591,286.063,250.966,47.57,19.428,45.564,
,1985,666.142,294.697,252.122,48.848,19.075,51.4,
,1986,690.176,305.787,254.618,58.357,18.396,53.018,
,1987,690.283,312.518,245.033,67.872,19.999,44.862,
,1988,725.373,322.719,262.925,68.952,21.544,49.233,
,1989,698.583,313.482,269.157,71.403,22.494,22.048,
,1990,658.344,295.75,243.02,75.954,22.755,20.865,582.548
,1991,687.67,306.5,257.521,78.466,24.384,20.799,606.85
,1992,666.66,288.338,256.048,74.272,24.768,23.233,619.978
,1993,706.442,318.584,260.13,81.721,24.414,21.592,643.034
,1994,790.234,330.423,256.525,85.589,24.884,92.812,715.96
,1995,844.549,346.584,265.227,101.556,26.9,104.283,751.825
,1996,872.284,352.718,264.465,108.019,27.419,119.662,751.85
,1997,893.938,360.178,303.134,95.205,27.539,107.882,772.1
,1998,912.482,354.754,315.172,112.713,28.57,101.273,819.251
,1999,899.879,365.712,293.584,114.377,29.73,96.476,785.979
,2000,930.851,370.01,312.215,114.348,30.897,103.38,733.342
,2001,920.602,371.74,298.125,120.126,32.412,98.2,749.353
,2002,899.996,360.666,287.549,134.355,34.928,82.498,740.585
,2003,989.645,390.582,326.15,145.782,35.273,91.857,819.854
,2004,1045.726,417.392,349.6,152.688,38.021,88.024,864.254
,2005,1059.372,412.225,335.862,183.513,41.903,85.869,880.529
,2006,1091.176,418.61,370.383,176.247,45.735,80.201,936.393
,2007,1116.9,429.852,376.744,190.162,49.202,70.941,969.982
,2008,1174.755,455.481,403.645,192.784,51.817,71.028,1023.797
,2009,1168.25,425.296,426.715,191.717,58.049,66.474,1064.897
,2010,1216.669,431.407,454.33,201.908,59.657,69.368,1097.266
,2011,1257.421,424.838,486.474,220.045,58.925,67.14,1159.195
,2012,1268.948,430.713,468.133,241.271,63.744,65.086,1198.988
,2013,1282.542,431.819,478.114,244.444,65.686,62.478,1250.719
,2014,1357.349,445.595,533.888,246.894,70.034,60.937,1333.149
,2015,1332.662,423.878,511.108,262.315,74.038,61.323,1341.596
,2016,1375.131,431.073,529.509,279.293,77.352,57.904,1362.498
,2017,1393.216,424.086,532.134,300.807,75.881,60.308,1331.045
,2018,1386.654,422.252,525.864,301.683,77.317,59.539,1329.383
,2019,1479.412,462.815,561.126,316.623,78.396,60.451,1404.681
,2020,1355.782,433.638,494.656,296.261,76.459,54.769,1318.767
,2021,1441.534,424.493,552.703,322.761,84.853,56.723,1397.284
,2022,1432.503,404.326,569.906,320.003,83.513,54.754,1367.002
,2023,1418.739,400.078,565.198,312.63,85.007,55.826,
,1850,0.0,,,,,,
,1851,0.0,,,,,,
,1852,0.0,,,,,,
,1853,0.0,,,,,,
,1854,0.0,,,,,,
,1855,0.0,,,,,,
,1856,0.0,,,,,,
,1857,0.0,,,,,,
,1858,0.0,,,,,,
,1859,0.0,,,,,,
,1860,0.0,,,,,,
,1861,0.0,,,,,,
,1862,0.0,,,,,,
,1863,0.0,,,,,,
,1864,0.0,,,,,,
,1865,0.0,,,,,,
,1866,0.0,,,,,,
,1867,0.0,,,,,,
,1868,0.0,,,,,,
,1869,0.0,,,,,,
,1870,0.0,,,,,,
,1871,0.0,,,,,,
,1872,0.0,,,,,,
,1873,0.0,,,,,,
,1874,0.0,,,,,,
,1875,0.0,,,,,,
,1876,0.0,,,,,,
,1877,0.0,,,,,,
,1878,0.0,,,,,,
,1879,0.0,,,,,,
,1880,0.0,,,,,,
,1881,0.0,,,,,,
,1882,0.0,,,,,,
,1883,0.0,,,,,,
,1884,0.022,,,,,,
,1885,0.037,,,,,,
,1886,0.048,,,,,,
,1887,0.048,,,,,,
,1888,0.081,,,,,,
,1889,0.132,,,,,,
,1890,0.297,,,,,,
,1891,0.297,,,,,,
,1892,0.48,,,,,,
,1893,1.799,,,,,,
,1894,2.433,,,,,,
,1895,3.338,,,,,,
,1896,4.258,,,,,,
,1897,4.778,,,,,,
,1898,6.049,,,,,,
,1899,5.518,,,,,,
,1900,2.33,,,,,,
,1901,3.909,,,,,,
,1902,5.826,,,,,,
,1903,7.896,,,,,,
,1904,8.911,,,,,,
,1905,10.263,,,,,,
,1906,11.717,,,,,,
,1907,12.93,,,,,,
,1908,13.403,,,,,,
,1909,15.385,,,,,,
,1910,17.411,,,,,,
,1911,16.865,,,,,,
,1912,17.954,,,,,,
,1913,19.606,,,,,,
,1914,19.551,,,,,,
,1915,19.606,,,,,,
,1916,23.255,,,,,,
,1917,25.344,,,,,,
,1918,24.725,,,,,,
,1919,25.443,,,,,,
,1920,28.052,,,,,,
,1921,27.986,,,,,,
,1922,23.97,,,,,,
,1923,29.045,,,,,,
,1924,30.631,,,,,,
,1925,32.185,,,,,,
,1926,34.438,,,,,,
,1927,33.841,,,,,,
,1928,34.77,,,,,,
,1929,35.802,,,,,,
,1930,33.696,,,,,,
,1931,29.464,,,,,,
,1932,26.623,,,,,,
,1933,28.491,,,,,,
,1934,32.539,,,,,,
,1935,35.91,,,,,,
,1936,39.016,,,,,,
,1937,41.844,,,,,,
,1938,44.013,,,,,,
,1939,46.853,,,,,,
,1940,49.649,,,,,,
,1941,54.023,,,,,,
,1942,58.823,,,,,,
,1943,60.12,,,,,,
,1944,66.633,,,,,,
,1945,67.527,,,,,,
,1946,68.159,,,,,,
,1947,67.935,,,,,,
,1948,71.733,,,,,,
,1949,77.324,,,,,,
,1950,94.868,,,,,,
,1951,101.125,,,,,,
,1952,110.325,,,,,,
,1953,112.007,,,,,,
,1954,117.536,,,,,,
,1955,129.402,,,,,,
,1956,135.106,,,,,,
,1957,141.593,,,,,,
,1958,148.671,,,,,,
,1959,147.841,,,,,,
,1960,156.567,,,,,,
,1961,161.994,,,,,,
,1962,166.335,,,,,,
,1963,176.335,,,,,,
,1964,193.639,,,,,,
,1965,213.634,,,,,,
,1966,221.082,,,,,,
,1967,237.045,,,,,,
,1968,257.268,,,,,,
,1969,277.717,,,,,,
,1970,302.406,,,,,,
,1971,331.613,,,,,,
,1972,351.688,,,,,,
,1973,377.821,,,,,,
,1974,388.183,,,,,,
,1975,387.017,,,,,,
,1976,419.915,,,,,,
,1977,432.919,,,,,,
,1978,462.339,,,,,,
,1979,498.987,,,,,,
,1980,536.023,,,,,,
,1981,548.875,,,,,,
,1982,571.965,,,,,,
,1983,594.808,,,,,,
,1984,649.588,,,,,,
,1985,666.138,,,,,,
,1986,690.173,,,,,,
,1987,690.279,,,,,,
,1988,725.366,,,,,,
,1989,698.576,,,,,,
,1990,658.336,,,,,,582.548
,1991,687.663,,,,,,606.85
,1992,666.653,,,,,,619.978
,1993,706.431,,,,,,643.034
,1994,790.223,,,,,,715.96
,1995,844.538,,,,,,751.825
,1996,872.273,,,,,,751.85
,1997,893.927,,,,,,772.1
,1998,912.471,,,,,,819.251
,1999,899.868,,,,,,785.979
,2000,930.84,,,,,,733.342
,2001,920.591,,,,,,749.353
,2002,899.985,,,,,,740.585
,2003,989.634,,,,,,819.854
,2004,1045.715,,,,,,864.254
,2005,1059.361,,,,,,880.529
